Name,Studio,Genre,Modes,Modding Support,Spinoff/Sequel,Open World,Player Persepective,Platforms,Platform Count,Story Hours,Extra Hours,Completionist,Map Size(sqkm),has_map_size,unique_factor,Launch Price,price_per_story_hour,price_per_extra_hour,price_per_completionist_hour,Release Date,Day,Month,Year,Franchise,content_density,critics_rating,user_rating,genre_count,modes_count,has_Action,has_Adventure,has_Shooter,has_Rpg,has_Survival,has_multiplayer,has_coop,is_first_person,is_third_person,is_isometric,is_vr,is_side_view,franchise_avg_critic,franchise_avg_user,is_first_franchise_game,studio_avg_critic,studio_avg_user,has_new_studio
The Last of Us,naughty dog,"shooter,adventure,action,survival,stealth,horror","single player,multiplayer",No,No,No,Third Person,Playstation 3,1,15.5,17.5,22.5,,0,1,$59.99,$3.87,$3.43,$2.67,2013-06-14,14,6,2013,The Last of Us,,9.75,9.3,6,2,1,1,1,0,1,1,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Ride to Hell: Retribution,"deep silver,eutechnyx","hack and slash/beat 'em up,action,shooter,adventure,historical",single player,No,No,Yes,First Person,"PC, Playstation 3, Xbox 360",3,9.0,10.0,17.5,,0,1,$29.99,$3.33,$3.00,$1.71,2013-06-25,25,6,2013,Ride to Hell,,0.95,2.23,5,1,1,1,1,0,0,0,0,1,0,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Saints Row IV,"high voltage software,volition","shooter,science fic,adventure,action,comedy,sandbox","single player,multiplayer,co-operative",Yes,Yes,Yes,Third Person,"PC, Playstation 3/4, Xbox 360/One",5,15.5,24.5,36.5,10.0,1,1,$59.99,$3.87,$2.45,$1.64,2013-08-20,20,8,2013,Saints Row,1.55,7.45,7.75,6,3,1,1,1,0,0,1,1,0,1,0,0,0,8.45,8.1,0,8.45,7.665,0
Grand Theft Auto V,rockstar games,"shooter,arcade,action","single player,multiplayer,co-operative",Yes,Yes,Yes,"First Person, Third Person","PC, Playstation 4/5, Xbox One/Series XIS",5,32.0,51.0,87.5,75.84,1,1,$59.99,$1.87,$1.18,$0.69,2013-09-17,17,9,2013,Grand Theft Auto ,0.4219409283,9.85,8.48,3,3,1,0,1,0,0,1,1,1,1,0,0,0,9.675,8.605,0,9.55,9.13,0
Beyond: Two Souls,quantic dream,"adventure,action,science fiction,thriller,drama","single player,multiplayer,co-operative",No,No,No,Third Person,"PC, Playstation 3/4",3,10.5,12.5,27.5,,0,0,$59.99,$5.71,$4.80,$2.18,2013-10-08,8,10,2013,,,6.5,8.15,5,3,1,1,0,0,0,1,1,0,1,0,0,0,7.699408284023669,7.367455621301775,1,8.85,8.55,0
Assassin's Creed IV Black Flag,ubisoft montreal,"action,rpg,stealth,parkour,adventure","single player,multiplayer,co-operative",Limited,Yes,Yes,Third Person,"PC, Playstation 3/4, Xbox 360/One, Nintendo Switch, Wii U",7,23.5,41.0,63.5,233.0,1,1,$39.99,$1.70,$0.98,$0.63,2013-10-29,29,10,2013,Assassins Creed,0.1008583691,8.65,8.58,5,3,1,1,0,1,0,1,1,0,1,0,0,0,7.699408284023669,7.367455621301775,1,8.9,8.65,0
Call of Duty: Ghosts,"neversoft entertainment,infinity ward,raven software,treyarch","shooter,action,science fiction,thriller,survival,stealth,warfare","single player,multiplayer,co-operative",Limited,Yes,No,First Person,"PC, Playstation 3/4, Wii U, Xbox 360/One",6,6.0,8.5,12.5,,0,0,$59.99,$10.00,$7.06,$4.80,2013-11-05,5,11,2013,Call of Duty,,8.3,5.9,7,3,1,0,1,0,1,1,1,1,0,0,0,0,8.955555555555556,8.064444444444444,0,8.9275,8.03775,0
Dark Souls II,fromsoftware,"rpg,adventure,action,fantasy","single player,multiplayer,co-operative",Yes,Yes,No,Third Person,"PC, Playstation 3, Xbox 360",3,35.5,61.0,102.0,,0,0,$59.99,$1.69,$0.98,$0.59,2014-03-11,11,3,2014,Dark Souls,,9.05,8.15,4,3,1,1,0,1,0,1,1,0,1,0,0,0,8.95,8.83,0,8.95,8.83,0
The Elder Scrolls Online,zenimax online studios,"rpg,adventure,action,fantasy","single player,multiplayer,co-operative,massively multiplayer online(mmo)",Limited,Yes,Yes,"First Person, Third Person","Mac, PC, Playstation 4/5, Xbox One/Seires XIS",6,50.0,50.0,300.0,400.0,1,0,$59.99,$1.20,$1.20,$0.20,2014-04-04,4,4,2014,The Elder Scrolls,0.125,7.55,7.33,4,4,1,1,0,1,0,1,1,1,1,0,0,0,7.892857142857143,7.791428571428571,0,7.699408284023669,7.367455621301775,0
Watch Dogs,ubisoft montreal,"shooter,adventure,action,science fiction,stealth,sandbox","single player,multiplayer,co-operative",Yes,No,Yes,Third Person,"PC, Playstation3/4, Wii U, Xbox 360/One",6,19.5,33.0,62.5,23.76,1,1,$19.99,$1.03,$0.61,$0.32,2014-05-26,26,5,2014,Watch Dogs,0.8207070707,8.2,7.35,6,3,1,1,1,0,0,1,1,0,1,0,0,0,7.699408284023669,7.367455621301775,1,8.775,8.615,0
